parameter,variable,sbe_name,instid,sensor_name,sensor_nodc,sensor_make,long_name,standard_name,units,precision,_fillValue,valid_min,valid_max
temperature,temperature,TemperatureSensor,inst_temp,pumped temperature sensor,CTD,SBE 3plus,"Water temperature, IPTS-90",sea_water_temperature,degree_Celsius,0.001,-99999,-2.5,45
temperature2,temperature2,TemperatureSensor,inst_temp2,pumped temperature sensor,CTD,SBE 3plus,"Water temperature, IPTS-90",sea_water_temperature,degree_Celsius,0.001,-99999,-2.5,45
conductivity,conductivity,ConductivitySensor,inst_cond,pumped conductivity cell,CTD,SBE 4C,Water conductivity,sea_water_electrical_conductivty,S m-1,3.00E-03,-99999,0,7
conductivity2,conductivity2,ConductivitySensor,inst_cond2,pumped conductivity cell,CTD,SBE 4C,Water conductivity,sea_water_electrical_conductivty,S m-1,3.00E-03,-99999,0,7
salinity,salinity,,inst_sal,pumped CTD,CTD,SBE 9plus,Practical Salinity,sea_water_practical_salinity,1.00E-03,NA,-99999,0,36
salinity2,salinity2,,inst_sal2,pumped CTD,CTD,SBE 9plus,Practical Salinity,sea_water_practical_salinity,1.00E-03,NA,-99999,0,36
pressure,pressure,PressureSensor,inst_prs,pumped CTD,CTD,SBE 9plus,Sea Water Pressure,sea_water_pressure,dbar,0.03,-99999,0,42000
altimeter,altimeter,AltimeterSensor,inst_alt,sonar altimeter,altimeter,Teledyne/Benthos PSA-916,Height above sea floor (altimeter),height_above_sea_floor,m,0.5,-99999,1,100
turbidity,turbidity,OBS_SeapointTurbiditySensor,inst_turb,optical backscatter,turbidity meter,Seapoint STM,Turbidity expressed as NTU/FTU (Nephelometric Turbidity Units),sea_water_turbidity,1,0.01,-99999,0.01,750
fluorescence,fluorescence,FluoroSeapointSensor,inst_flu,chlorophyll fluorometer,fluorometer,Seapoint SCF,Chlorophyll fluorescence,,1,0.1,-99999,0.1,50
oxygen_RINKO,oxygen,RINKO III Temperature,inst_oxy,oxygen optode,oxygen meter,RINKO III,Dissolved oxygen,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,mmol m-3,0.1,-99999,50,400
oxygen_optode,oxygen2,,inst_oxy2,oxygen optode,oxygen meter,Aanderaa 4880,Dissolved oxygen,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,mmol m-3,0.1,-99999,50,400
PAR_cefas,PAR,,inst_par,Photosynthetically Active Radiation Sensor,PAR sensor,Licor Li-192 with Cefas low light amplifier,Photosynthetically Active Radiation (PAR),downwelling_photosynthetic_photon_flux_in_sea_water,mol m-2 s-1,NA,-99999,1.00E-04,10
PAR,PAR,PARLog_SatlanticSensor,inst_par,Photosynthetically Active Radiation Sensor,PAR sensor,Satlantic Logarithmic PAR,Photosynthetically Active Radiation (PAR),downwelling_photosynthetic_photon_flux_in_sea_water,mol m-2 s-1,NA,-99999,1.00E-04,5
spm,spm,,inst_turb,optical backscatter,turbidity meter,Seapoint STM,Suspended Particulate Matter,,g m-3,0.1,-99999,0,100
chlorophyll,chlorophyll,,inst_flu,chlorophyll fluorometer,fluorometer,Seapoint SCF,Chlorophyll,chlorophyll_concentration_in_sea_water,mg m-3,0.1,-99999,0,50
